,title,company,job_type,location,link
42,고객/차량 데이터 서비스 기획 (Data Service Planner)의 전체 세부 정보,기아,정규직,서울 서초구,https://kr.indeed.com/rc/clk?jk=e25349751a881c24&fccid=4407ef3f1668028b&vjs=3
43,2023년 신입/경력사원 수시의 전체 세부 정보,벽산,신입공채 +1,서울 중구,https://kr.indeed.com/rc/clk?jk=5eda03fdcd12e221&fccid=e7df3ebd44da0bef&vjs=3
44,Data Analyst Intern - Korea의 전체 세부 정보,MOLOCO,인턴,서울,https://kr.indeed.com/rc/clk?jk=3d0e22b9756facb8&fccid=6588d205440cdcb9&vjs=3
45,신입 서버 엔지니어 (Python)의 전체 세부 정보,페이히어,신입공채 +1,서울 강남구,https://kr.indeed.com/rc/clk?jk=92940febef828985&fccid=254f50a1adb01cad&vjs=3
46,데이터 엔지니어 - 데이터 Biz (대규모 )의 전체 세부 정보,한국카카오은행,정규직,성남 분당구,https://kr.indeed.com/rc/clk?jk=fc1991e05fc699fb&fccid=aea6a13a3459fdb2&vjs=3
47,파이썬 개발자 초중급 이상의 전체 세부 정보,데이터앤솔루션,신입공채 +1,서울 서초구,https://kr.indeed.com/rc/clk?jk=d158e683dc0b7500&fccid=02f32b94107c54e3&vjs=3
48,클라우드 플랫폼 운영 엔지니어의 전체 세부 정보,NHN Enterprise,,성남 판교역,https://kr.indeed.com/rc/clk?jk=40e20a58af1e44ee&fccid=cc378bd7bc831eca&vjs=3
49,서버 개발자 - 기반기술 (대규모 )의 전체 세부 정보,한국카카오은행,정규직,성남 분당구,https://kr.indeed.com/rc/clk?jk=c0ad6885b241b9eb&fccid=aea6a13a3459fdb2&vjs=3
50,Data Engineering[책임매니저(G3)]의 전체 세부 정보,현대자동차그룹,정규직,서울 양재역,https://kr.indeed.com/rc/clk?jk=2227849edfa12196&fccid=980d6ecc399a3373&vjs=3
51,[올라핀테크] 핀테크 플랫폼 Python(파이썬) 개발자의 전체 세부 정보,주식회사 올라핀테크 관심기업,정규직,서울 논현동,https://kr.indeed.com/rc/clk?jk=83afc0063130f3f2&fccid=ee9199e84b45d22f&vjs=3
52,"웹개발자 - 백엔드(Node.js , Python) , 웹 그래픽 엔지니어( Three.js, WebGL)의 전체 세부 정보",이지웹,정규직,서울 마포구,https://kr.indeed.com/rc/clk?jk=207ac1ebdc8aaf0b&fccid=7e33dcdfbaf465a5&vjs=3
53,2023년 상반기 백엔드 개발자의 전체 세부 정보,반달소프트,신입공채 +2,성남 분당구,https://kr.indeed.com/rc/clk?jk=1601f1bfe3302af5&fccid=f35f7fc5e918087a&vjs=3
