,title,company,job_type,location,link
31,IT 스타트업 안드로이드(android)개발자의 전체 세부 정보,경연파트너스,,서울 구로구,https://kr.indeed.com/rc/clk?jk=22fbde70967f363c&fccid=0f76eb1d9acd6c10&vjs=3
32,프론트엔드 개발자의 전체 세부 정보,세컨신드롬,정규직,서울 강남구,https://kr.indeed.com/rc/clk?jk=5079a7d08724cfdb&fccid=ba14407ca9412d5e&vjs=3
33,[HYBE] DevOps 엔지니어의 전체 세부 정보,하이브,정규직,서울 용산구,https://kr.indeed.com/rc/clk?jk=1a88b24f8accaa6a&fccid=55c46c15186153ee&vjs=3
34,마이데이터 핀테크 스타트업 앱개발(IOS)의 전체 세부 정보,경연파트너스,정규직,서울,https://kr.indeed.com/rc/clk?jk=d3297b1b93553ff0&fccid=0f76eb1d9acd6c10&vjs=3
35,사업 개발 매니저의 전체 세부 정보,세컨신드롬,정규직,서울 강남구,https://kr.indeed.com/rc/clk?jk=290daf724e411cb7&fccid=ba14407ca9412d5e&vjs=3
36,Solution Architect - Korean Speaking의 전체 세부 정보,Agora,,서울,https://kr.indeed.com/rc/clk?jk=bd88223a218f6c9e&fccid=8e0237eca6b7f720&vjs=3
37,미니창고 다락의 PM/PO의 전체 세부 정보,세컨신드롬,정규직,서울 강남구,https://kr.indeed.com/rc/clk?jk=c2405881a7cb8dcb&fccid=ba14407ca9412d5e&vjs=3
38,이커머스 서비스(코오롱몰) 백엔드 개발자 (Spring Framework/Serverless)의 전체 세부 정보,퍼플아이오,정규직,서울 강남구,https://kr.indeed.com/rc/clk?jk=8db88985c46c0ab3&fccid=9411b6bc2042a83b&vjs=3
39,그루비사업부 플랫폼개발팀 [주임/대리급]의 전체 세부 정보,플래티어,정규직,서울 송파구,https://kr.indeed.com/rc/clk?jk=967f1f2ca8d80c16&fccid=44a1e9046435d04b&vjs=3
40,[마블러스] 백엔드 개발자 주니어/시니어의 전체 세부 정보,마블러스,정규직,대한민국,https://kr.indeed.com/rc/clk?jk=0dad27533fee10c3&fccid=471224a0399e2888&vjs=3
41,Developer Advocate (APAC)의 전체 세부 정보,Swirlds Labs,,서울,https://kr.indeed.com/rc/clk?jk=c0ebf336680c79e4&fccid=78b9007e9c9c2bd4&vjs=3
42,백엔드 개발자의 전체 세부 정보,세컨신드롬,정규직,서울 강남구,https://kr.indeed.com/rc/clk?jk=8cb5e2ea9083e564&fccid=ba14407ca9412d5e&vjs=3
43,제휴 마케터의 전체 세부 정보,세컨신드롬,정규직,서울 강남구,https://kr.indeed.com/rc/clk?jk=48f1ed3220e59992&fccid=ba14407ca9412d5e&vjs=3
44,인공지능기반의 공간정보 이용한 오픈/상용 플랫폼의 전체 세부 정보,드로미,계약직,서울 서초구,https://kr.indeed.com/rc/clk?jk=f5496e993184e464&fccid=a788518d121fc789&vjs=3
45,각 분야별 개발자 정규직의 전체 세부 정보,시큐어키,신입공채 +1,서울 금천구,https://kr.indeed.com/rc/clk?jk=2e0eddf83a8d1b26&fccid=8d12eb6f6e6848d3&vjs=3
46,"클라우드 서비스 플랫폼 Monitoring System 개발자, S그룹 Global Top Tier IT회사의 전체 세부 정보",코어포인트,정규직,서울 송파구,https://kr.indeed.com/rc/clk?jk=f85084e59fb1cdd5&fccid=a71819ff34fb2d90&vjs=3
