,title,company,job_type,location,link
28,[신입]백엔드 개발자의 전체 세부 정보,엘리스,신입공채,서울 강남구,https://kr.indeed.com/rc/clk?jk=cead4dad426630e1&fccid=b00d4b329a5fe2ac&vjs=3
29,대규모 뉴워커 데이터라벨러의 전체 세부 정보,인크루트앤코,신입공채 +1,서울 중구,https://kr.indeed.com/rc/clk?jk=b18dfb7c12c0f9c5&fccid=408a49b97f5de7fa&vjs=3
30,[한국로봇산업협회] 정규직 및 계약직 직원 - 3/13(월)까지의 전체 세부 정보,한국로봇산업협회,신입공채 +1,서울 용산구,https://kr.indeed.com/rc/clk?jk=44567eeb07d4ec94&fccid=65f9602445079c19&vjs=3
31,서버 엔지니어 - 운영개발의 전체 세부 정보,당근마켓,신입공채 +1,서울 서초구,https://kr.indeed.com/rc/clk?jk=9827f01cff655ee2&fccid=b819352f54034fcd&vjs=3
32,데이터 사이언티스트의 전체 세부 정보,두나무,정규직,서울 강남구,https://kr.indeed.com/rc/clk?jk=9614834fe0f9c8e3&fccid=6723a9d496e46445&vjs=3
33,2023 (주)웨슬리퀘스트 컨설팅 / 데이터 분석 인턴의 전체 세부 정보,웨슬리퀘스트,신입공채 +1,서울 서대문구,https://kr.indeed.com/rc/clk?jk=f015320517fd2f51&fccid=e26b76e383664067&vjs=3
34,[카카오커머스] 기술직군의 전체 세부 정보,카카오커머스,신입공채 +1,성남 분당구,https://kr.indeed.com/rc/clk?jk=2b9e604e63e7e46d&fccid=b1f5de6cae96f6c2&vjs=3
35,2023년 경력사원 수시의 전체 세부 정보,두산 정보통신BU,정규직,서울 종로구,https://kr.indeed.com/rc/clk?jk=e8c7eb89041cd212&fccid=0abc8230b1953e40&vjs=3
36,데이터베이스 부문 경력(DA/DBA)의 전체 세부 정보,현대오토에버,정규직,서울 강남구,https://kr.indeed.com/rc/clk?jk=0424a3c5c413264b&fccid=d5a22a3e93377742&vjs=3
37,영상인식 / AI 알고리즘 SW 개발자의 전체 세부 정보,디텍,신입공채 +1,성남 분당구,https://kr.indeed.com/rc/clk?jk=b00ef3c1dad9d82d&fccid=4a08359b4ce15823&vjs=3
38,경력 디자이너 상시의 전체 세부 정보,마이다스아이티,정규직,성남 분당구,https://kr.indeed.com/rc/clk?jk=1886b1bc9bce8456&fccid=edcd227a9e2de391&vjs=3
39,"데이터분석, 빅데이터 외 신입/경력의 전체 세부 정보",카레딧,신입공채 +2,서울 서초구,https://kr.indeed.com/rc/clk?jk=b88f495049c80c78&fccid=c0ba41037cd765fd&vjs=3
40,[SAPEON Korea] AI반도체 사업 Project Manager의 전체 세부 정보,사피온코리아,정규직,성남 분당구,https://kr.indeed.com/rc/clk?jk=ba5dc94afbf2268f&fccid=3e45ffdcf8435b2d&vjs=3
41,데이터 엔지니어 - 플랫폼 (대규모 )의 전체 세부 정보,한국카카오은행,정규직,성남 분당구,https://kr.indeed.com/rc/clk?jk=df77c9c5f0936835&fccid=aea6a13a3459fdb2&vjs=3
42,[SAPEON Korea] Backend Compiler Engineer의 전체 세부 정보,사피온코리아,정규직,성남 분당구,https://kr.indeed.com/rc/clk?jk=189fadaf29ba9527&fccid=3e45ffdcf8435b2d&vjs=3
43,Freelance Korean-English Translation Reviewers의 전체 세부 정보,캑터스커뮤니케이션즈코리아,아르바이트 +1,서울 마포구,https://kr.indeed.com/rc/clk?jk=d8209acf74c288c2&fccid=5c37e3489556d9e7&vjs=3
44,[토스플레이스] DBA의 전체 세부 정보,비바리퍼블리카,정규직,서울 강남구,https://kr.indeed.com/rc/clk?jk=2090b662772def4a&fccid=17dc934b27d58446&vjs=3
45,[미리캔버스] AI 콘텐츠 제작 매니저의 전체 세부 정보,미리디,신입공채 +2,서울 구로구,https://kr.indeed.com/rc/clk?jk=9cdedf7d584ff717&fccid=4cb72ca574a6bab7&vjs=3
46,[상시] 변리사의 전체 세부 정보,니어스랩,정규직,서울 강남구,https://kr.indeed.com/rc/clk?jk=8102a8dddef3cf67&fccid=f3d5eeb09e72b348&vjs=3
47,[SAPEON Korea] AI Serving Cloud Engineer의 전체 세부 정보,사피온코리아,정규직,성남 분당구,https://kr.indeed.com/rc/clk?jk=e77577a40d7cd8cd&fccid=3e45ffdcf8435b2d&vjs=3
48,"인공지능(AI),데이터분석 계약직 경력무관을 모십니다.의 전체 세부 정보",심심이(주) 관심기업,계약직,서울 대치동,https://kr.indeed.com/rc/clk?jk=95eaeff44230e439&fccid=303749af4e9abdf6&vjs=3
49,[클라우드DX] DB 엔지니어 영입의 전체 세부 정보,카카오엔터프라이즈,정규직,성남 분당구,https://kr.indeed.com/rc/clk?jk=602b84b50036aed5&fccid=e19aa33fc391b310&vjs=3
